Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6fyz_5280794_uff_E=546.19,-7.7,0.0,0.0
6fyz_5280794_uff_E=546.19,-7.6,24.368,21.425
6fyz_5280794_uff_E=546.19,-7.4,29.507,26.564
6fyz_5280794_uff_E=546.19,-7.4,9.28,3.298
6fyz_5280794_uff_E=546.19,-7.1,31.325,25.668
6fyz_5280794_uff_E=546.19,-7.0,30.642,27.866
6fyz_5280794_uff_E=546.19,-6.9,32.012,27.693
6fyz_5280794_uff_E=546.19,-6.8,24.885,21.649
6fyz_5280794_uff_E=546.19,-6.8,9.441,3.391
6fyz_5281426_uff_E=97.00,-5.8,0.0,0.0
6fyz_5281426_uff_E=97.00,-5.7,25.75,23.238
6fyz_5281426_uff_E=97.00,-5.6,25.792,24.803
6fyz_5281426_uff_E=97.00,-5.6,25.442,24.122
6fyz_5281426_uff_E=97.00,-5.6,26.243,23.757
6fyz_5281426_uff_E=97.00,-5.6,24.956,23.723
6fyz_5281426_uff_E=97.00,-5.5,26.418,24.562
6fyz_5281426_uff_E=97.00,-5.4,25.621,23.607
6fyz_5281426_uff_E=97.00,-5.2,46.029,45.064
6fyz_289_uff_E=55.42,-4.4,0.0,0.0
6fyz_289_uff_E=55.42,-4.4,2.209,0.044
6fyz_289_uff_E=55.42,-4.3,4.117,2.836
6fyz_289_uff_E=55.42,-4.3,3.74,2.837
6fyz_289_uff_E=55.42,-4.3,2.166,1.157
6fyz_289_uff_E=55.42,-4.2,23.771,22.86
6fyz_289_uff_E=55.42,-4.2,2.517,1.831
6fyz_289_uff_E=55.42,-4.2,26.786,25.87
6fyz_289_uff_E=55.42,-4.2,3.024,1.857
6fyz_5281243_uff_E=655.10,-8.9,0.0,0.0
6fyz_5281243_uff_E=655.10,-8.6,2.183,1.385
6fyz_5281243_uff_E=655.10,-8.6,4.153,3.092
6fyz_5281243_uff_E=655.10,-8.5,4.901,2.827
6fyz_5281243_uff_E=655.10,-8.5,18.505,3.3
6fyz_5281243_uff_E=655.10,-8.4,2.552,1.75
6fyz_5281243_uff_E=655.10,-8.4,2.584,1.777
6fyz_5281243_uff_E=655.10,-8.4,18.458,1.785
6fyz_5281243_uff_E=655.10,-8.0,3.762,2.519
6fyz_5280899_uff_E=704.15,-9.2,0.0,0.0
6fyz_5280899_uff_E=704.15,-9.0,1.596,0.595
6fyz_5280899_uff_E=704.15,-8.8,19.049,3.366
6fyz_5280899_uff_E=704.15,-8.8,18.592,0.963
6fyz_5280899_uff_E=704.15,-8.8,18.592,1.613
6fyz_5280899_uff_E=704.15,-8.7,18.676,2.474
6fyz_5280899_uff_E=704.15,-8.6,2.13,1.19
6fyz_5280899_uff_E=704.15,-8.2,19.006,2.632
6fyz_5280899_uff_E=704.15,-8.2,22.359,14.138
6fyz_259846_uff_E=928.19,-8.0,0.0,0.0
6fyz_259846_uff_E=928.19,-7.7,33.641,28.01
6fyz_259846_uff_E=928.19,-7.5,33.54,28.012
6fyz_259846_uff_E=928.19,-7.2,32.314,27.41
6fyz_259846_uff_E=928.19,-7.1,30.133,27.533
6fyz_259846_uff_E=928.19,-7.1,32.977,27.343
6fyz_259846_uff_E=928.19,-7.0,33.676,28.219
6fyz_259846_uff_E=928.19,-7.0,32.187,27.565
6fyz_259846_uff_E=928.19,-6.9,33.221,27.749
6fyz_5280459_uff_E=587.34,-7.7,0.0,0.0
6fyz_5280459_uff_E=587.34,-7.4,27.734,25.24
6fyz_5280459_uff_E=587.34,-7.2,7.041,1.762
6fyz_5280459_uff_E=587.34,-7.1,7.351,1.949
